N,1m,2m,3m,4m,5m,6m,7m,8m,9m,1p,2p,3p,4p,5p,6p,7p,8p,9p,1s,2s,3s,4s,5s,6s,7s,8s,9s,東,南,西,北,白,発,中
52,1.202,2.4374,1.7967,2.4374,1.8283,1.1975,1.7967,2.4374,1.8248,1.7967,2.4374,1.7967,1.1774,1.8219,1.7967,2.4374,1.1835,1.197,1.7967,2.4374,1.7967,2.4374,0.5951,1.8283,1.8114,1.8139,2.4374,2.4374,1.7967,1.7967,1.21,1.8202,1.8088,2.4374
51,1.2014,2.4348,1.7953,2.4348,1.8269,1.1969,1.7953,2.4348,1.8234,1.7953,2.4348,1.7953,1.1768,1.8205,1.7953,2.4348,1.1828,1.1964,1.7953,2.4348,1.7953,2.4348,0.5949,1.8269,1.81,1.2086,2.4348,2.4348,1.7953,1.7953,1.2094,1.8187,1.8073,2.4348
50,1.2004,2.4308,1.793,2.4308,1.8247,1.1959,1.793,2.4308,1.8212,1.793,2.4308,1.793,1.1758,1.8183,1.793,2.4308,1.1818,1.1954,1.793,2.4308,1.793,2.4308,0.5947,1.8247,1.8077,1.2076,1.8239,2.4308,1.793,1.793,1.2084,1.8165,1.8051,2.4308
49,1.1991,2.4254,1.79,2.4254,1.8217,0.5976,1.79,2.4254,1.8182,1.79,2.4254,1.79,1.1745,1.8153,1.79,2.4254,1.1805,1.1941,1.79,2.4254,1.79,2.4254,0.5943,1.8217,1.8047,1.2063,1.8209,2.4254,1.79,1.79,1.2071,1.8135,1.8021,2.4254
48,1.1974,2.4184,1.7861,2.4184,1.8178,0.5972,1.7861,2.4184,1.8143,1.7861,2.4184,1.7861,1.1728,1.8114,1.7861,2.4184,1.1788,1.1924,1.7861,2.4184,1.7861,2.4184,0.5939,1.8178,1.8009,1.2047,1.8171,2.4184,1.7861,1.7861,1.2054,1.2073,1.7982,2.4184
47,1.1954,2.4099,1.7814,1.8091,1.8131,0.5967,1.7814,2.4099,1.8096,1.7814,2.4099,1.7814,1.1707,1.8067,1.7814,2.4099,1.1767,1.1903,1.7814,2.4099,1.7814,2.4099,0.5934,1.8131,1.7961,1.2026,1.8124,2.4099,1.7814,1.7814,1.2034,1.2053,1.7935,2.4099
46,1.1929,2.3997,1.7757,1.8035,1.8075,0.5961,1.7757,2.3997,1.804,1.7757,2.3997,1.7757,1.1682,1.8011,1.7757,2.3997,1.1743,1.1878,1.7757,2.3997,1.7757,2.3997,0.5928,1.8075,1.7905,1.2001,1.8068,2.3997,1.7757,1.7757,1.2009,1.2028,1.7879,1.8018
45,1.1901,2.3878,1.7691,1.7969,1.801,0.5954,1.7691,2.3878,1.7974,1.7691,1.7932,1.7691,1.1653,1.7945,1.7691,2.3878,1.1714,1.185,1.7691,2.3878,1.7691,2.3878,0.5921,1.801,1.7839,1.1973,1.8002,2.3878,1.7691,1.7691,1.1981,1.2,1.7813,1.7952
44,1.1868,2.374,1.7615,1.7894,1.7934,0.5946,1.7615,2.374,1.7899,1.7615,1.1922,1.7615,1.162,1.787,1.7615,2.374,1.1681,1.1817,1.7615,2.374,1.7615,2.374,0.5913,1.7934,1.7763,1.194,1.7927,2.374,1.7615,1.7615,1.1948,1.1967,1.7737,1.7877
43,1.183,2.3584,1.7529,1.7808,1.7848,0.5937,1.7529,2.3584,1.7813,1.7529,0.5952,1.7529,1.1582,1.7784,1.7529,2.3584,1.1643,1.1779,1.7529,2.3584,1.7529,2.3584,0.5904,1.7848,1.7677,1.1903,1.7841,2.3584,1.7529,1.7529,1.191,1.193,1.7651,1.7791
42,1.1788,2.3407,1.7431,1.7711,1.7752,0.5926,1.7431,2.3407,1.7716,1.7431,0.5941,1.1643,1.1539,1.7687,1.7431,2.3407,1.16,1.1737,1.7431,2.3407,1.7431,2.3407,0.5893,1.7752,1.758,1.186,1.7744,2.3407,1.7431,1.7431,1.1868,1.1887,1.7553,1.7694
41,1.1741,2.3209,1.7322,1.7602,1.7643,0.5915,1.7322,2.3209,1.1764,1.7322,0.593,1.1596,1.1492,1.7578,1.7322,2.3209,1.1553,1.1689,1.7322,2.3209,1.7322,2.3209,0.5882,1.7643,1.7471,1.1813,1.7635,2.3209,1.7322,1.7322,1.1821,1.184,1.7445,1.7585
40,1.1688,2.2989,1.7201,1.7482,1.7523,0.5902,1.7201,2.2989,1.1711,1.7201,0.5917,1.1543,1.1439,1.7458,1.7201,2.2989,1.15,1.1637,1.7201,2.2989,1.7201,2.2989,0.5869,1.7523,1.735,1.1761,1.7515,2.2989,1.7201,1.7201,1.1769,1.1788,1.1577,1.7465
39,1.163,2.2746,1.7066,1.7348,1.739,0.5888,1.7066,2.2746,1.1653,1.7066,0.5903,1.1485,1.1381,1.7324,1.7066,1.7108,1.1442,1.1579,1.7066,2.2746,1.7066,2.2746,0.5855,1.739,1.7217,1.1703,1.7382,2.2746,1.7066,1.7066,1.1711,1.1731,1.1519,1.7331
38,1.1567,2.2477,1.6919,1.7202,1.7243,0.5872,1.6919,2.2477,1.159,1.6919,0.5887,1.1421,1.1316,1.7177,1.6919,1.696,1.1378,1.1515,1.6919,2.2477,1.6919,2.2477,0.5839,1.7243,1.7069,1.164,1.7235,2.2477,1.1313,1.6919,1.1648,1.1667,1.1455,1.7184
37,1.1497,2.2182,1.6757,1.7041,1.7082,0.5855,1.6757,2.2182,1.152,1.6757,0.5871,1.1351,1.1246,1.7016,1.6757,1.6799,1.1308,1.1445,1.6757,2.2182,1.6757,2.2182,0.5822,1.7082,1.6908,1.157,1.7074,2.2182,0.564,1.6757,1.1578,1.1597,1.1385,1.7023
36,1.1421,2.186,1.658,1.6864,1.6906,0.5837,1.658,2.186,1.1444,1.658,0.5852,1.1274,1.1169,1.684,1.658,1.6622,1.1231,1.1369,1.658,2.186,1.658,2.186,0.5804,1.6906,1.6731,1.1494,1.6898,1.6459,0.5621,1.658,1.1502,1.1521,1.1309,1.6847
